2016 NFL TV RATINGS,,,,,,,,,,,,,,,,,,,,,,,,
DH = doubleheader; Single = singleheader,,,,,,,,,,,,,,,,,,,,,,,,
Window,Game,Net,Rtg.,+/-,Vwrs.,+/-,Strm.,18-49,Week,,,,,,,,,,,,,,,
Bengals/Cardinals,NBC,10.7,-14%,18.0M,-14%,11,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.4,-3%,17.4M,-3%,11,,,,,,,,,,,,,,,,,,
Bills/Patriots,ESPN,8.9,10%,14.3M,12%,11,,,,,,,,,,,,,,,,,,
Wash./Panthers (66%),FOX,8.1,-2%,13.7M,-1%,11,,,,,,,,,,,,,,,,,,
Titans/Jaguars,NFLN,4.2,-14%,6.6M,-15%,11,,,,,,,,,,,,,,,,,,
Panthers/Cowboys,CBS,14.3,1%,32.5M,1%,12,,,,,,,,,,,,,,,,,,
Bears/Packers,NBC,13.8,21%,27.8M,21%,12,,,,,,,,,,,,,,,,,,
Steelers/Seahawks,CBS,15.4,-1%,26.6M,1%,12,,,,,,,,,,,,,,,,,,
Eagles/Lions,FOX,12.3,-10%,25.4M,-14%,12,,,,,,,,,,,,,,,,,,
Patriots/Broncos,NBC,14.6,11%,25.2M,13%,12,,,,,,,,,,,,,,,,,,
Giants/Wash. (32%),FOX,12.3,1%,20.5M,-1%,12,,,,,,,,,,,,,,,,,,
Ravens/Browns,ESPN,6.5,-3%,10.1M,-7%,12,,,,,,,,,,,,,,,,,,
Regional action,CBS,6,-28%,9.8M,-25%,12,,,,,,,,,,,,,,,,,,
Panthers/Saints (61%),FOX,16.3,-7%,28.6M,-7%,13,,,,,,,,,,,,,,,,,,
Colts/Steelers,NBC,11.1,-11%,19.2M,-9%,13,,,,,,,,,,,,,,,,,,
Packers/Lions,"CBS, NFLN",11,no gm.,17.8M,no gm.,13,,,,,,,,,,,,,,,,,,
Jets/Giants (39%),CBS,10.2,6%,17.2M,10%,13,,,,,,,,,,,,,,,,,,
Seahawks/Vikings (42%),FOX,9.4,13%,15.4M,13%,13,,,,,,,,,,,,,,,,,,
Cowboys/Wash.,ESPN,8.7,18%,14.2M,20%,13,,,,,,,,,,,,,,,,,,
Cowboys/Packers,FOX,16.5,6%,28.9M,11%,14,,,,,,,,,,,,,,,,,,
Patriots/Texans,NBC,12.3,-4%,21.0M,-1%,14,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.9,3%,18.6M,6%,14,,,,,,,,,,,,,,,,,,
Falcons/Panthers (34%),FOX,8.9,3%,15.2M,11%,14,,,,,,,,,,,,,,,,,,
Giants/Dolphins,ESPN,7.4,-13%,11.5M,-17%,14,,,,,,,,,,,,,,,,,,
Vikings/Cardinals,NFLN,5.5,even,8.7M,-4%,14,,,,,,,,,,,,,,,,,,
Broncos/Steelers (86%),CBS,14.5,-8%,25.0M,-6%,15,,,,,,,,,,,,,,,,,,
Panthers/Giants (52%),FOX,14.5,31%,25.0M,34%,15,,,,,,,,,,,,,,,,,,
Cardinals/Eagles,NBC,10.5,-27%,18.1M,-25%,15,,,,,,,,,,,,,,,,,,
Lions/Saints,ESPN,6.7,-6%,10.9M,-2%,15,,,,,,,,,,,,,,,,,,
Jets/Cowboys,NFLN,4.3,?,7.4M,?,15,,,,,,,,,,,,,,,,,,
Buccaneers/Rams,NFLN,3.8,-19%,6.0M,-22%,15,,,,,,,,,,,,,,,,,,
Packers/Cardinals (92%),FOX,15.5,2%,27.8M,7%,16,,,,,,,,,,,,,,,,,,
Vikings/Giants,NBC,10.4,-10%,17.9M,-7%,16,,,,,,,,,,,,,,,,,,
Regional action,CBS,?,?,17.6M,9%,16,,,,,,,,,,,,,,,,,,
Panthers/Falcons (54%),FOX,?,?,16.2M,-1%,16,,,,,,,,,,,,,,,,,,
Bengals/Broncos,ESPN,9.4,-3%,15.8M,-1%,16,,,,,,,,,,,,,,,,,,
Washington/Eagles,NFLN,?,?,8.1M,14%,16,,,,,,,,,,,,,,,,,,
Chargers/Raiders,NFLN,?,?,7.1M,46%,16,,,,,,,,,,,,,,,,,,
Vikings/Packers,NBC,13.8,15%,24.3M,17%,17,,,,,,,,,,,,,,,,,,
Seahawks/Cardinals (51%),FOX,12,-23%,20.9M,-27%,17,,,,,,,,,,,,,,,,,,
Regional action,CBS,11.2,14%,18.6M,13%,17,,,,,,,,,,,,,,,,,,
Regional action,CBS,10.3,63%,17.6M,64%,17,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Window,Featured Game,Net,Rtg.,+/-,Vwrs.,+/-,Week,13rtg,13vr,,,,,,,,,,,,,,,
Kickoff,Packers/Seahawks,NBC,15.5,4%,26.91,7%,1,14.88,25.0263,,,,,,,,,,,,,,,
National,49ers/Cowboys (89%),FOX,15.7,-5%,28,-2%,1,16.485,28.56,,,,,,,,,,,,,,,
SNF,Colts/Broncos,NBC,13.9,-8%,23.69,-7%,1,15.012,25.3483,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.9,4%,16.5,6%,1,9.504,15.51,,,,,,,,,,,,,,,
Regional,Saints/Falcons (49%),FOX,8.2,-8%,14.1,-4%,1,8.856,14.664,,,,,,,,,,,,,,,
MNF,Giants/Lions,ESPN,8.4,-17%,13.73,-17%,1,9.828,16.0641,,,,,,,,,,,,,,,
MNF,Cardinals/Chargers,ESPN,7.1,0%,11.52,5%,1,7.1,10.944,,,,,,,,,,,,,,,
TNF,Steelers/Ravens,"CBS, NFLN",12.7,84%,20.77,89%,2,2.032,2.2847,,,,,,,,,,,,,,,
National,Chiefs/Broncos (56%),CBS,14.4,-9%,24.94,-6%,2,15.696,26.4364,,,,,,,,,,,,,,,
SNF,Bears/49ers,NBC,12.9,6%,22.16,8%,2,12.126,20.3872,,,,,,,,,,,,,,,
Single,Seahawks/Chargers (25%),FOX,11.3,-12%,19.41,-11%,2,12.656,21.5451,,,,,,,,,,,,,,,
Regional,Regional action,CBS,7.8,-2%,13.12,5%,2,7.956,12.464,,,,,,,,,,,,,,,
MNF,Eagles/Colts,ESPN,9.2,1%,14.89,4%,2,9.108,14.2944,,,,,,,,,,,,,,,
TNF,Buccaneers/Falcons,"CBS, NFLN",7.5,7%,11.88,7%,3,6.975,11.0484,,,,,,,,,,,,,,,
National,Broncos/Seahawks (89%),CBS,15.8,3%,27.29,7%,3,15.326,25.3797,,,,,,,,,,,,,,,
Single,49ers/Cardinals (27%),FOX,11.8,-6%,20.56,-2%,3,12.508,20.9712,,,,,,,,,,,,,,,
SNF,Steelers/Panthers,NBC,11.8,-3%,19.67,-4%,3,12.154,20.4568,,,,,,,,,,,,,,,
Regional,Regional action,CBS,8.7,42%,14.54,0%,3,5.046,14.54,,,,,,,,,,,,,,,
MNF,Bears/Jets,ESPN,8.4,-6%,13.27,-5%,3,8.904,13.9335,,,,,,,,,,,,,,,
TNF,Giants/Washington,"CBS, NFLN",10.2,92%,16.3,96%,4,0.816,0.652,,,,,,,,,,,,,,,
National,Eagles/49ers (88%),FOX,15,-7%,25.82,-4%,4,16.05,26.8528,,,,,,,,,,,,,,,
SNF,Saints/Cowboys,NBC,13.3,6%,22.68,11%,4,12.502,20.1852,,,,,,,,,,,,,,,
Regional,Packers/Bears (65%),FOX,9.1,-3%,15.08,-1%,4,9.373,15.2308,,,,,,,,,,,,,,,
Single,Regional action,CBS,7.4,-10%,11.83,-11%,4,8.14,13.1313,,,,,,,,,,,,,,,
MNF,Patriots/Chiefs,ESPN,8.8,2%,14.43,5%,4,8.624,13.7085,,,,,,,,,,,,,,,
TNF,Vikings/Packers,"CBS, NFLN",9.8,113%,16.54,117%,5,-1.274,-2.8118,,,,,,,,,,,,,,,
SNF,Patriots/Bengals,NBC,11.7,13%,19.39,10%,5,10.179,17.451,,,,,,,,,,,,,,,
National,Chiefs/49ers (54%),CBS,11.5,-31%,19.65,-31%,5,15.065,25.7415,,,,,,,,,,,,,,,
Single,Cardinals/Broncos (37%),FOX,11.5,-2%,19.34,-1%,5,11.73,19.5334,,,,,,,,,,,,,,,
Regional,Regional action,CBS,8.8,26%,14.67,31%,5,6.512,10.1223,,,,,,,,,,,,,,,
MNF,Seahawks/Wash.,ESPN,8.2,9%,13.12,15%,5,7.462,11.152,,,,,,,,,,,,,,,
TNF,Colts/Texans,"CBS, NFLN",10,69%,15.85,69%,6,3.1,4.9135,,,,,,,,,,,,,,,
National,Cowboys/Seahawks (69%),FOX,17.4,10%,30.02,12%,6,15.66,26.4176,,,,,,,,,,,,,,,
SNF,Giants/Eagles,NBC,10.8,-15%,18.09,-18%,6,12.42,21.3462,,,,,,,,,,,,,,,
Regional,Patriots/Dolphins (46%),FOX,9.6,-2%,16.13,-2%,6,9.792,16.4526,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.4,-5%,15.37,0%,6,9.87,15.37,,,,,,,,,,,,,,,
MNF,49ers/Rams,ESPN,7.9,3%,12.71,6%,6,7.663,11.9474,,,,,,,,,,,,,,,
TNF,Jets/Patriots,"CBS, NFLN",10.1,140%,16.09,137%,7,-4.04,-5.9533,,,,,,,,,,,,,,,
National,Giants/Cowboys (92%),FOX,15.6,5%,26.98,7%,7,14.82,25.0914,,,,,,,,,,,,,,,
SNF,49ers/Broncos,NBC,13.8,-13%,23.79,-12%,7,15.594,26.6448,,,,,,,,,,,,,,,
Single,Regional action,CBS,9.2,-15%,15.35,-16%,7,10.58,17.806,,,,,,,,,,,,,,,
Regional,Panthers/Packers (55%),FOX,8.5,-3%,14.2,2%,7,8.755,13.916,,,,,,,,,,,,,,,
